Resample,ROC,Sens,Spec,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,Accuracy,Kappa,J,Dist,model
NA,0.8274843261723717,0.7501313600072207,0.9048372923375226,0.7501313600072207,0.9048372923375226,0.8886976096594863,0.7833740846094496,0.8886976096594863,0.7501313600072207,0.8123464637156004,0.5002992486696101,0.37454121280879216,0.4217478483413726,0.8274843261723717,0.8270353286066017,0.6541315844472793,0.6549686523447434,0.2692083745570913,NA
NA,0.8268398375735027,0.7498417313760619,0.9038379437709433,0.7498417313760619,0.9038379437709433,0.888813223081813,0.7858306572986895,0.888813223081813,0.7498417313760619,0.8114561642667398,0.500292211297057,0.3752283823655875,0.4224904743809026,0.8268398375735027,0.8276740790532153,0.6539132660619149,0.6536796751470052,0.2732386777800443,NA
NA,0.8275500155569273,0.7492145510119651,0.9058854801018894,0.7492145510119651,0.9058854801018894,0.8878056664949612,0.7815301099185326,0.8878056664949612,0.7492145510119651,0.812300197560651,0.5013881393323546,0.3754844241338038,0.4224050389438442,0.8275500155569273,0.8271756699914087,0.6535027489751983,0.6551000311138546,0.26811522229673107,NA
NA,0.8270770297839797,0.7487522679328467,0.9054017916351128,0.7487522679328467,0.9054017916351128,0.8908104986963643,0.7832920089741476,0.8908104986963643,0.7487522679328467,0.8114609134338135,0.49877868260823377,0.37328093236840354,0.41998570842802463,0.8270770297839797,0.8277974737005487,0.6533655118864534,0.6541540595679594,0.27329796971392634,NA
NA,0.8280058654979386,0.7492810067407243,0.906730724255153,0.7492810067407243,0.906730724255153,0.8886508434738604,0.7872895650437483,0.8886508434738604,0.7492810067407243,0.8088691830283959,0.5006140855371135,0.3751014098081325,0.42203641836739986,0.8280058654979386,0.8275523157117516,0.653083157244631,0.6560117309958773,0.27415354599167274,NA
NA,0.830234462334629,0.7501628416000194,0.9103060830692387,0.7501628416000194,0.9103060830692387,0.8930292238041382,0.7825208134284745,0.8930292238041381,0.7501628416000194,0.8128134817049933,0.501138149811793,0.37452596911865627,0.41998164129414356,0.830234462334629,0.827932147131376,0.6559497384984184,0.660468924669258,0.26977541175584885,NA
NA,0.8232869560238368,0.7391856344168987,0.9073882776307751,0.7391856344168987,0.9073882776307751,0.8906255792864471,0.7846756340338944,0.8906255792864471,0.7391856344168987,0.8027432630845288,0.5007023973008587,0.37156856655327736,0.4175011965965456,0.8232869560238368,0.8249335392091504,0.6468068659152238,0.6465739120476738,0.28459925011820847,NA
NA,0.8302196108554963,0.7495798634144104,0.9108593582965823,0.7495798634144104,0.9108593582965823,0.890109713158428,0.7871172455652226,0.890109713158428,0.7495798634144104,0.8080846382166976,0.4981384056867702,0.37185025226884844,0.4182253999289829,0.8302196108554963,0.8273366989219437,0.65402858006545,0.6604392217109926,0.273033921169936,NA
NA,0.8289498131992961,0.7494976752698131,0.9084019511287789,0.7494976752698131,0.9084019511287789,0.89494321509484,0.7829164689201815,0.89494321509484,0.7494976752698131,0.8104264573007179,0.5011024755493015,0.37290826579316355,0.4190548282148805,0.828949813199296,0.825659227822145,0.6525076607148119,0.657899626398592,0.2773078057783068,NA
NA,0.8305726818436251,0.755057266996171,0.9060880966910789,0.755057266996171,0.9060880966910789,0.8883997855839519,0.7910660669525983,0.8883997855839519,0.755057266996171,0.8138143344854476,0.4988953601423778,0.3767186073971504,0.4235572567667717,0.830572681843625,0.8309845978851513,0.6600496673295844,0.6611453636872501,0.2664192666690425,NA
