shrinkage,interaction.depth,n.minobsinnode,n.trees,ROC,Sens,Spec,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,Accuracy,Kappa,J,Dist,ROCSD,SensSD,SpecSD,SensitivitySD,SpecificitySD,Pos Pred ValueSD,Neg Pred ValueSD,PrecisionSD,RecallSD,F1SD,PrevalenceSD,Detection RateSD,Detection PrevalenceSD,Balanced AccuracySD,AccuracySD,KappaSD,JSD,DistSD,cluster,model
0.01,2,10,1000,0.8957693375033472,0.8145250371500375,0.8090041073171941,0.8145250371500375,0.8090041073171941,0.8115354959975862,0.8141061685008149,0.8115354959975862,0.8145250371500375,0.8112482555732025,0.5002992486696101,0.40675889885143496,0.5021845684857186,0.8117645722336158,0.8110339805475413,0.621766043888335,0.6235291444672315,0.27327454371794124,0.024177984269304963,0.057832229105922804,0.042448883265324096,0.057832229105922804,0.042448883265324096,0.03141246760739052,0.05481062670483922,0.031412467607390526,0.057832229105922804,0.022389094123124363,0.03085496530863205,0.02792789021997126,0.043402092530729484,0.023210425796662135,0.022316102751434048,0.044745607357838044,0.04642085159332427,0.030427392521609267,cluster.10,gbm_topo
0.01,2,25,500,0.8954951493211615,0.8095064033876991,0.8119636096233541,0.8095064033876991,0.8119636096233541,0.8134965290096053,0.8129527181041336,0.8134965290096053,0.8095064033876991,0.8100051270381523,0.500292211297057,0.40524555262244705,0.4984659531385646,0.8107350065055265,0.8117329408092724,0.6214500142594535,0.6214700130110532,0.2752614306600603,0.03285623777733334,0.06830041615852796,0.047479583258529266,0.06830041615852796,0.047479583258529266,0.028399252059645476,0.05553262100220944,0.028399252059645455,0.06830041615852796,0.037640673484649105,0.0383268944870141,0.048400868701120814,0.06117729201099521,0.031213820332803136,0.030867734183727787,0.06191426116682482,0.06242764066560627,0.04835024018777232,cluster.20,gbm_topo
0.01,6,25,500,0.8955121018093336,0.8096683064262761,0.8166574554917562,0.8096683064262761,0.8166574554917562,0.8148189649742634,0.8094682745436144,0.8148189649742633,0.8096683064262761,0.8115017442962004,0.5013881393323546,0.4056559942030402,0.4973980260833066,0.8131628809590161,0.8125258229904193,0.624223582613409,0.6263257619180322,0.265857523455321,0.020926866226203572,0.038423790808928666,0.03013635624869863,0.038423790808928666,0.03013635624869863,0.040447257214943716,0.04199767474724099,0.04044725721494373,0.038423790808928666,0.030231552911182135,0.03965825311318232,0.03442039030684149,0.026430161084607634,0.026846971958421947,0.026970328288049246,0.053387454457101705,0.05369394391684389,0.038101448337473864,cluster.30,gbm_topo
0.01,6,25,500,0.8948900521929972,0.8090811986038315,0.8133522462748772,0.8090811986038315,0.8133522462748772,0.8118651250748102,0.8109416703804488,0.8118651250748102,0.8090811986038315,0.8082677345691759,0.49877868260823377,0.4031552983009583,0.4968138802752893,0.8112167224393544,0.8107180337183936,0.6192761343138136,0.6224334448787087,0.27450990117198826,0.020828080040731164,0.062041208238435765,0.048543531655465086,0.062041208238435765,0.048543531655465086,0.046617285248605436,0.06057943958089715,0.0466172852486054,0.062041208238435765,0.032853332979852566,0.05311699285759414,0.04815422788506418,0.054894789798997104,0.02688359847252577,0.025936223525300253,0.05350698305802275,0.05376719694505154,0.04105165096791039,cluster.40,gbm_topo
0.01,2,10,1500,0.896192502472588,0.810709861939361,0.812156895978004,0.810709861939361,0.812156895978004,0.8091280086179913,0.8128019167651875,0.8091280086179914,0.810709861939361,0.8078564778360005,0.5006140855371135,0.40560597985247837,0.500319570902672,0.8114333789586825,0.8102783032651713,0.6191026904900568,0.6228667579173649,0.273705590865558,0.03329903569383988,0.0740041102728499,0.03342592080415795,0.0740041102728499,0.03342592080415795,0.05221920680770263,0.06774759715332004,0.05221920680770266,0.0740041102728499,0.04679675103464149,0.04979940172919958,0.0503028103470928,0.04488632959037654,0.03500364983790714,0.03365203439553335,0.06992721664355066,0.07000729967581427,0.04871171535522641,cluster.50,gbm_topo
0.01,4,25,500,0.8983759722906814,0.8125461090858437,0.8188828393655199,0.8125461090858437,0.8188828393655199,0.816510940747606,0.8116155984178431,0.816510940747606,0.8125461090858437,0.8116605150733633,0.501138149811793,0.40539593041687993,0.49719546872551873,0.8157144742256818,0.8124582422964481,0.6255629501395539,0.6314289484513634,0.26731465835949736,0.031411943854076724,0.06302751268699681,0.04938695087120375,0.06302751268699681,0.04938695087120375,0.06107937940757757,0.07173752873139724,0.061079379407577586,0.06302751268699681,0.038742819911414525,0.05011302522346003,0.03237876615788761,0.02964807820531766,0.033815712290444465,0.03686388961610455,0.07212950959506964,0.06763142458088893,0.05006268255314794,cluster.60,gbm_topo
0.01,8,50,1000,0.8942737499953188,0.8050272912042289,0.813089581297511,0.8050272912042289,0.813089581297511,0.8132044708752011,0.8148101748825807,0.8132044708752011,0.8050272912042289,0.8053648899108857,0.5007023973008587,0.40365883742884123,0.4966916747365957,0.8090584362508699,0.809923602820228,0.6176327429900766,0.61811687250174,0.2857838678550697,0.03341416390225824,0.0980194631457587,0.04597370486823314,0.0980194631457587,0.04597370486823314,0.03420269735228237,0.0724946723391993,0.03420269735228238,0.0980194631457587,0.04735443397375788,0.04729681934299716,0.06846412971070334,0.08107280991673053,0.030953649801861275,0.032720286474149846,0.06242913265619982,0.06190729960372255,0.04505181823585795,cluster.70,gbm_topo
0.01,2,50,500,0.9011044336667332,0.808353862185931,0.8186913329731735,0.808353862185931,0.8186913329731735,0.8130503790776434,0.8157474154597346,0.8130503790776434,0.808353862185931,0.8038032186878548,0.4981384056867702,0.4012310897401768,0.49513010017410236,0.8135225975795523,0.809193673619481,0.6177682951480604,0.6270451951591044,0.2845242629189099,0.0333534018959962,0.09710493720413857,0.07313006331859634,0.09710493720413857,0.07313006331859634,0.08271210966952608,0.08670184997392506,0.08271210966952611,0.09710493720413857,0.046901006867376985,0.0705545497254307,0.06700365123943132,0.07489533521696098,0.030101230856629912,0.03290992435864684,0.06335159301366776,0.060202461713259825,0.046507540367202484,cluster.80,gbm_topo
0.01,2,10,500,0.8984432908158312,0.8059252386636349,0.8156297071150522,0.8059252386636349,0.8156297071150522,0.8117574868725173,0.8060887730518694,0.8117574868725173,0.8059252386636349,0.8052476966892779,0.5011024755493015,0.4019718447312718,0.49560072537413735,0.8107774728893435,0.8072404885391047,0.614660756478475,0.6215549457786871,0.276092292143937,0.025394023775885993,0.06769940461396452,0.04836204107758688,0.06769940461396452,0.04836204107758688,0.06339547874588672,0.06974009990037665,0.06339547874588675,0.06769940461396452,0.03565086135753683,0.055056000085295605,0.040189903108354914,0.03760295185858559,0.029045503769482534,0.030127654346069146,0.05934385641364768,0.05809100753896507,0.0429515342760937,cluster.90,gbm_topo
0.01,4,15,1000,0.8969537421215498,0.8165526117444308,0.8104892897677012,0.8165526117444308,0.8104892897677012,0.8098590771214276,0.8191976601807162,0.8098590771214276,0.8165526117444308,0.811876367356204,0.4988953601423778,0.4080115683295318,0.5030137526327825,0.813520950756066,0.8141140238839033,0.6260017946277099,0.627041901512132,0.26975953142128556,0.03416819715238382,0.06778488320128344,0.044167986831120776,0.06778488320128344,0.044167986831120776,0.04761762820486795,0.05968021867337812,0.04761762820486792,0.06778488320128344,0.04764127445182948,0.04684712770204032,0.05653093932371691,0.05476944350662456,0.039683458388157095,0.039971720272235584,0.08010613949565161,0.07936691677631419,0.054651319635398335,cluster.100,gbm_topo
